term,term_id
federal,1
register,2
vol,3
59,4
no,5
42,6
thursday,7
march,8
3,9
1994,10
proposed,11
rules,12
department,13
of,14
transportation,15
aviation,16
administration,17
14,18
cfr,19
part,20
71,21
airspace,22
docket,23
93,24
awa,25
establishment,26
jet,27
route,28
j,29
512,30
and,31
alteration,32
vor,33
airway,34
v,35
351,36
agency,37
faa,38
dot,39
action,40
notice,41
rulemaking,42
summary,43
this,44
proposes,45
to,46
establish,47
from,48
the,49
kalispell,50
mt,51
very,52
high,53
frequency,54
omnidirectional,55
range/distance,56
measuring,57
equipment,58
vor/dme,59
calgary,60
alberta,61
canada,62
enhance,63
traffic,64
flow,65
between,66
united,67
states,68
also,69
amend,70
states/canadian,71
border,72
reduce,73
controller,74
workload,75
dates,76
comments,77
must,78
be,79
received,80
on,81
or,82
before,83
01-25-1994,84
addresses,85
send,86
proposal,87
in,88
triplicate,89
manager,90
air,91
division,92
anm,93
500,94
1601,95
lind,96
avenue,97
sw,98
renton,99
wa,100
98055,101
4056,102
official,103
may,104
examined,105
office,106
chief,107
counsel,108
room,109
916,110
800,111
independence,112
washington,113
dc,114
weekdays,115
except,116
holidays,117
8:30,118
a.m,119
5,120
pm,121
an,122
informal,123
during,124
normal,125
business,126
hours,127
at,128
regional,129
for,130
further,131
information,132
contact,133
norman,134
w,135
thomas,136
obstruction,137
evaluation,138
branch,139
atp,140
240,141
airspacerules,142
aeronautical,143
procedures,144
service,145
20591,146
telephone,147
202,148
267,149
9230,150
supplementary,151
invited,152
interested,153
parties,154
are,155
participate,156
by,157
submitting,158
such,159
written,160
data,161
views,162
arguments,163
as,164
they,165
desire,166
that,167
provide,168
factual,169
basis,170
supporting,171
suggestions,172
presented,173
particularly,174
helpful,175
developing,176
reasoned,177
regulatory,178
decisions,179
specifically,180
overall,181
economic,182
environmental,183
energy,184
related,185
energyrelated,186
aspects,187
communications,188
should,189
identify,190
number,191
submitted,192
address,193
listed,194
above,195
commenters,196
wishing,197
acknowledge,198
receipt,199
their,200
submit,201
with,202
those,203
a,204
addressed,205
selfaddressed,206
stamped,207
postcard,208
which,209
following,210
statement,211
is,212
made,213
will,214
date/time,215
returned,216
commenter,217
all,218
specified,219
closing,220
date,221
considered,222
taking,223
rule,224
contained,225
changed,226
light,227
available,228
examination,229
both,230
after,231
report,232
summarizing,233
each,234
substantive,235
public,236
personnel,237
concerned,238
filed,239
availability,240
nprm's,241
any,242
person,243
obtain,244
copy,245
nprm,246
request,247
affairs,248
attention,249
inquiry,250
center,251
apa,252
220,253
calling,254
3485,255
persons,256
being,257
placed,258
mailing,259
list,260
future,261
advisory,262
circular,263
11,264
2a,265
describes,266
application,267
procedure,268
considering,269
amendment,270
regulations,271
excluding,272
within,273
would,274
routes,275
domestic,276
airways,277
published,278
paragraphs,279
2004,280
6010(a,281
respectively,282
order,283
7400.9a,284
dated,285
june,286
17,287
1993,288
effective,289
01-16-1993,290
incorporated,291
reference,292
71.1,293
document,294
subsequently,295
has,296
determined,297
regulation,298
only,299
involves,300
