term,term_id
federal,1
register,2
vol,3
59,4
42,5
thursday,6
march,7
3,8
1994,9
proposed,10
rules,11
department,12
transportation,13
aviation,14
administration,15
14,16
cfr,17
part,18
71,19
airspace,20
docket,21
93,22
awa,23
establishment,24
jet,25
route,26
512,27
alteration,28
vor,29
airway,30
351,31
agency,32
faa,33
dot,34
action,35
notice,36
rulemaking,37
summary,38
proposes,39
establish,40
kalispell,41
mt,42
high,43
frequency,44
omnidirectional,45
range/distance,46
measuring,47
equipment,48
vor/dme,49
calgary,50
alberta,51
canada,52
enhance,53
traffic,54
flow,55
united,56
states,57
amend,58
states/canadian,59
border,60
reduce,61
controller,62
workload,63
dates,64
comments,65
received,66
01-25-1994,67
addresses,68
send,69
proposal,70
triplicate,71
manager,72
air,73
division,74
anm,75
500,76
1601,77
lind,78
avenue,79
sw,80
renton,81
wa,82
98055,83
4056,84
official,85
examined,86
office,87
chief,88
counsel,89
room,90
916,91
800,92
independence,93
washington,94
dc,95
weekdays,96
holidays,97
8:30,98
a.m,99
5,100
pm,101
informal,102
normal,103
business,104
hours,105
regional,106
information,107
contact,108
norman,109
thomas,110
obstruction,111
evaluation,112
branch,113
atp,114
240,115
airspacerules,116
aeronautical,117
procedures,118
service,119
20591,120
telephone,121
202,122
267,123
9230,124
supplementary,125
invited,126
interested,127
parties,128
participate,129
submitting,130
written,131
data,132
views,133
arguments,134
desire,135
provide,136
factual,137
basis,138
supporting,139
suggestions,140
presented,141
helpful,142
developing,143
reasoned,144
regulatory,145
decisions,146
specifically,147
economic,148
environmental,149
energy,150
related,151
energyrelated,152
aspects,153
communications,154
identify,155
number,156
submitted,157
address,158
listed,159
commenters,160
wishing,161
acknowledge,162
receipt,163
submit,164
addressed,165
selfaddressed,166
stamped,167
postcard,168
statement,169
made,170
date/time,171
returned,172
commenter,173
closing,174
date,175
considered,176
taking,177
rule,178
contained,179
changed,180
light,181
examination,182
report,183
summarizing,184
substantive,185
public,186
personnel,187
concerned,188
filed,189
availability,190
nprm's,191
person,192
obtain,193
copy,194
nprm,195
request,196
affairs,197
attention,198
inquiry,199
center,200
apa,201
220,202
calling,203
3485,204
persons,205
mailing,206
list,207
future,208
advisory,209
circular,210
11,211
2a,212
describes,213
application,214
procedure,215
amendment,216
regulations,217
excluding,218
routes,219
domestic,220
airways,221
published,222
paragraphs,223
2004,224
6010(a,225
order,226
7400.9a,227
dated,228
june,229
17,230
1993,231
effective,232
01-16-1993,233
incorporated,234
reference,235
71.1,236
document,237
subsequently,238
determined,239
regulation,240
involves,241
established,242
body,243
technical,244
frequent,245
routine,246
amendments,247
operationally,248
current,249
therefore_(1,250
significant,251
executive,252
12866,253
2,254
policies,255
44,256
fr,257
11034,258
01-26-1979,259
warrant,260
preparation,261
anticipated,262
impact,263
minimal,264
matter,265
affect,266
navigation,267
certified,268
promulgated,269
substantial,270
small,271
entities,272
criteria,273
flexibility,274
act,275
subjects,276
incorporation,277
consideration,278
foregoing,279
71_[amended,280
1,281
authority,282
citation,283
continues,284
read,285
