term,term_id
feder,1
regist,2
vol,3
59,4
no,5
42,6
thursday,7
march,8
3,9
1994,10
propos,11
rule,12
depart,13
of,14
transport,15
aviat,16
administr,17
14,18
cfr,19
part,20
71,21
docket,22
establish,23
jet,24
rout,25
512,26
and,27
alter,28
vor,29
airway,30
351,31
agenc,32
action,33
notic,34
summari,35
thi,36
to,37
from,38
the,39
kalispel,40
mt,41
veri,42
high,43
frequenc,44
omnidirect,45
measur,46
equip,47
calgari,48
alberta,49
canada,50
enhanc,51
traffic,52
flow,53
between,54
unit,55
state,56
also,57
amend,58
border,59
reduc,60
control,61
workload,62
date,63
comment,64
must,65
be,66
receiv,67
on,68
or,69
befor,70
address,71
send,72
in,73
triplic,74
manag,75
air,76
divis,77
500,78
1601,79
lind,80
avenu,81
sw,82
renton,83
wa,84
offici,85
may,86
examin,87
offic,88
chief,89
counsel,90
room,91
916,92
800,93
independ,94
washington,95
dc,96
weekday,97
except,98
holiday,99
5,100
pm,101
an,102
inform,103
dure,104
normal,105
busi,106
hour,107
at,108
region,109
for,110
further,111
norman,112
w,113
thoma,114
airspac,115
obstruct,116
evalu,117
branch,118
airspacerul,119
aeronaut,120
procedur,121
servic,122
20591,123
telephon,124
supplementari,125
invit,126
interest,127
parti,128
are,129
particip,130
rulemak,131
by,132
submit,133
such,134
written,135
data,136
view,137
argument,138
as,139
they,140
desir,141
that,142
provid,143
factual,144
basi,145
support,146
suggest,147
present,148
particularli,149
help,150
develop,151
reason,152
regulatori,153
decis,154
specif,155
overal,156
econom,157
environment,158
energi,159
relat,160
energyrel,161
aspect,162
commun,163
should,164
identifi,165
number,166
list,167
wish,168
faa,169
acknowledg,170
receipt,171
their,172
with,173
those,174
a,175
selfaddress,176
stamp,177
postcard,178
which,179
follow,180
statement,181
is,182
made,183
will,184
return,185
all,186
specifi,187
close,188
consid,189
take,190
contain,191
chang,192
light,193
avail,194
both,195
after,196
report,197
summar,198
each,199
substant,200
public,201
contact,202
personnel,203
concern,204
file,205
ani,206
person,207
obtain,208
copi,209
request,210
affair,211
attent,212
inquiri,213
center,214
220,215
call,216
3485,217
nprm,218
place,219
mail,220
futur,221
advisori,222
circular,223
2a,224
describ,225
applic,226
regul,227
exclud,228
within,229
would,230
domest,231
publish,232
paragraph,233
2004,234
respect,235
order,236
june,237
17,238
1993,239
effect,240
incorpor,241
refer,242
document,243
subsequ,244
ha,245
determin,246
onli,247
involv,248
bodi,249
technic,250
frequent,251
routin,252
necessari,253
keep,254
them,255
oper,256
current,257
it,258
not,259
under,260
execut,261
12866,262
dot,263
polici,264
fr,265
11034,266
doe,267
warrant,268
prepar,269
anticip,270
impact,271
so,272
minim,273
sinc,274
matter,275
affect,276
navig,277
certifi,278
when,279
promulg,280
have,281
signific,282
substanti,283
small,284
entiti,285
criteria,286
flexibl,287
subject,288
consider,289
forego,290
1,291
author,292
citat,293
continu,294
read,295
49,296
app,297
1510,298
10854,299
24,300
9565,301
1963,302
comp,303
p,304
389,305
2,306
design,307
point,308
int,309
022,310
ˆ,311
184,312
radial,313
issu,314
willi,315
c,316
nelson,317
act,318
doc,319
4873,320
94,321
bill,322
code,323
m,324
health,325
human,326
food,327
drug,328
21,329
123,330
1240,331
safe,332
process,333
import,334
fish,335
fisheri,336
product,337
correct,338
appear,339
adopt,340
ensur,341
monitor,342
select,343
accord,344
hazard,345
analysi,346
critic,347
principl,348
some,349
final,350
base,351
upon,352
becom,353
year,354
rm,355
23,356
12420,357
parklawn,358
dr,359
rockvil,360
md,361
20857,362
paper,363
diskett,364
nation,365
commerc,366
5285,367
port,368
royal,369
rd,370
springfield,371
va,372
22161,373
nti,374
134707,375
501301,376
includ,377
payment,378
check,379
money,380
charg,381
card,382
express,383
visa,384
deposit,385
account,386
expir,387
4650,388
regular,389
rush,390
electron,391
access,392
fedworld,393
tm,394
download,395
option,396
dial,397
8020,398
modem,399
fedworldgov,400
philip,401
spiller,402
safeti,403
appli,404
nutrit,405
200,406
st,407
20204,408
3885,409
1592,410
page,411
4142,412
friday,413
1st,414
column,415
line,416
0199,417
remov,418
ad,419
caption,420
text,421
us,422
road,423
4148,424
2d,425
full,426
10,427
4150,428
3d,429
bottom,430
word,431
been,432
3a,433
4157,434
4,435
4165,436
eat,437
16,438
4171,439
4th,440
begin,441
last,442
sentenc,443
fda,444
guidanc,445
smoke,446
flavor,447
smokedflavor,448
appendix,449
codifi,450
reserv,451
subpart,452
b,453
6,454
4181,455
first,456
7,457
4188,458
12,459
readytoeat,460
8,461
4198,462
section,463
smokeflavor,464
these,465
consolid,466
separ,467
9,468
4211,469
exampl,470
15,471
19,472
20,473
parenthet,474
materi,475
guid,476
speci,477
4212,478
11,479
5th,480
phrase,481
permit,482
13,483
4213,484
brine,485
michael,486
r,487
taylor,488
deputi,489
commission,490
4662,491
f,492
justic,493
28,494
77,495
repres,496
addit,497
day,498
30day,499
period,500
govern,501
circumst,502
attorney,503
organ,504
known,505
cours,506
law,507
enforc,508
investig,509
proceed,510
purpos,511
impos,512
comprehens,513
clear,514
uniform,515
set,516
conduct,517
crimin,518
civil,519
intend,520
adher,521
highest,522
ethic,523
standard,524
while,525
elimin,526
uncertainti,527
confus,528
aris,529
varieti,530
interpret,531
local,532
court,533
district,534
gener,535
prohibit,536
limit,537
enumer,538
against,539
deriv,540
american,541
bar,542
associ,543
profession,544
respons,545
successor,546
aba,547
model,548
individu,549
who,550
yet,551
name,552
defend,553
arrest,554
howev,555
without,556
consent,557
negoti,558
plea,559
agreement,560
settlement,561
other,562
similar,563
legal,564
arrang,565
manual,566
direct,567
deal,568
accommod,569
more,570
fulli,571
underli,572
provis,573
restrict,574
target,575
april,576
10th,577
constitut,578
ave,579
nw,580
mark,581
terison,582
senior,583
5204,584
toll,585
free,586
tollfre,587
i,588
discuss,589
same,590
two,591
previou,592
occas,593
see,594
57,595
54737,596
58,597
39976,598
mani,599
thought,600
member,601
prosecutor,602
version,603
revis,604
accordingli,605
again,606
opportun,607
reflect,608
commit,609
foster,610
behavior,611
consist,612
forth,613
guidelin,614
can,615
reli,616
carri,617
out,618
make,619
where,620
licens,621
practic,622
clearli,623
conflict,624
violat,625
embodi,626
remain,627
disciplinari,628
sanction,629
new,630
extens,631
review,632
vigor,633
debat,634
among,635
judg,636
privat,637
academ,638
ethicist,639
essenc,640
agent,641
fashion,642
whether,643
allow,644
undercov,645
overt,646
up,647
until,648
crime,649
attempt,650
outsid,651
presenc,652
preclud,653
certain,654
narrow,655
indict,656
complaint,657
represent,658
princip,659
occur,660
voluntarili,661
knowingli,662
initi,663
case,664
requir,665
magistr,666
approv,667
appoint,668
substitut,669
entireti,670
end,671
commentari,672
approach,673
unless,674
met,675
supervisor,676
earli,677
centuri,678
lawyer,679
one,680
disput,681
through,682
advers,683
rather,684
than,685
directli,686
hi,687
client,688
shall,689
caus,690
anoth,691
he,692
know,693
prior,694
do,695
about,696
50,697
columbia,698
recognit,699
unfair,700
circumv,701
oppos,702
employ,703
superior,704
skill,705
train,706
advantag,707
time,708
long,709
recogn,710
broad,711
power,712
polic,713
properli,714
interview,715
wit,716
potenti,717
suspect,718
even,719
waiv,720
right,721
silent,722
although,723
fifth,724
sixth,725
significantli,726
constraint,727
taken,728
into,729
custodi,730
adversari,731
sound,732
victim,733
strong,734
were,735
treat,736
provinc,737
alon,738
tradit,739
forbid,740
did,741
come,742
legitim,743
activ,744
recent,745
encourag,746
play,747
larger,748
role,749
preindict,750
prearrest,751
increas,752
stem,753
wider,754
use,755
techniqu,756
surveil,757
complex,758
white,759
collar,760
necessit,761
intens,762
engag,763
grand,764
juri,765
most,766
greater,767
stage,768
regard,769
assur,770
compli,771
salutari,772
byproduct,773
whom,774
work,775
overwhelm,776
preponder,777
appel,778
held,779
v,780
ryan,781
903,782
731,783
cert,784
deni,785
498,786
855,787
lemonaki,788
485,789
941,790
56,791
cir,792
415,793
989,794
second,795
circuit,796
otherwis,797
hammad,798
858,799
834,800
differ,801
now,802
104,803
analog,804
scope,805
counterpart,806
bureau,807
expans,808
jurisdict,809
block,810
permiss,811
statutori,812
problem,813
compound,814
assign,815
good,816
stand,817
but,818
she,819
need,820
belong,821
result,822
prosecut,823
team,824
often,825
compris,826
admit,827
creat,828
possibl,829
inde,830
twomemb,831
could,832
commend,833
disciplin,834
exact,835
conclud,836
compel,837
exist,838
reconcil,839
oblig,840
absent,841
forc,842
phase,843
leav,844
unfett,845
never,846
retreat,847
field,848
serv,849
neither,850
effici,851
nor,852
elev,853
complianc,854
furthermor,855
themselv,856
type,857
virtual,858
whose,859
maintain,860
exempt,861
what,862
extent,863
restraint,864
4b,865
576,866
577,867
fact,868
form,869
histori,870
believ,871
maximum,872
therefor,873
though,874
reach,875
decid,876
implement,877
wholesal,878
attorneycli,879
relationship,880
advis,881
bargain,882
immun,883
context,884
special,885
knowledg,886
detriment,887
untutor,888
layperson,889
