term,term_id
federal register,1
vol 59,2
tuesday january,3
tuesday january 4,4
january 4,5
january 4 1994,6
4 1994,7
agricultural marketing,8
agricultural marketing service,9
marketing service,10
7 cfr,11
cfr parts,12
valencia oranges,13
reporting requirements,14
final rule,15
marketing orders,16
form 38,17
product byproduct,18
form 3,19
information collection,20
information collection requirements,21
collection requirements,22
february 3,23
marketing order,24
usda room,25
washington dc,26
field office,27
street suite,28
order nos,29
executive order,30
executive order 12866,31
order 12866,32
executive order 12778,33
order 12778,34
order 12778 civil,35
12778 civil,36
12778 civil justice,37
civil justice,38
civil justice reform,39
justice reform,40
retroactive effect,41
local laws,42
laws regulations,43
irreconcilable conflict,44
administrative proceedings,45
district court,46
united states,47
20 days,48
requirements set,49
regulatory flexibility,50
regulatory flexibility act,51
flexibility act,52
economic impact,53
small entities,54
regulatory actions,55
issued pursuant,56
regulated areas,57
small business,58
small business administration,59
business administration,60
interim final,61
interim final rule,62
october 8,63
8 1993,64
effective date,65
day 30day,66
comment period,67
products including,68
regulations governing,69
products byproducts,70
total amount,71
information collected,72
ensure compliance,73
reports required,74
additional burden,75
24 hours,76
regulations require,77
collection requirements contained,78
requirements contained,79
previously approved,80
reporting burden,81
approximately 25,82
substantial number,83
relevant material,84
material presented,85
reasons set,86
authority citation,87
7 cfr part,88
cfr part,89
58 fr,90
part 908,91
deputy director,92
billing code,93
exchange commission,94
17 cfr,95
investment grade,96
canadian securities,97
made effective,98
commission washington,99
commission washington dc,100
washington dc 20549,101
dc 20549,102
november 3,103
3 1993,104
commission stated,105
securities act,106
act release,107
commission issued,108
significant impact,109
administrative procedure,110
administrative procedure act,111
procedure act,112
30 days,113
securities exchange,114
securities exchange act,115
exchange act,116
recordkeeping requirements,117
federal regulations,118
nationally recognized,119
national policy,120
policy statement,121
eligibility requirements,122
federal energy,123
federal energy regulatory,124
energy regulatory,125
energy regulatory commission,126
regulatory commission,127
18 cfr,128
marketing affiliates,129
interstate pipelines,130
gas transmission,131
transmission system,132
sunset date,133
rule governing,134
interstate natural,135
interstate natural gas,136
natural gas,137
natural gas pipelines,138
gas pipelines,139
contemporaneous disclosure,140
contemporaneous disclosure requirement,141
disclosure requirement,142
marketing information,143
gas sales,144
effective january,145
effective january 1,146
january 1,147
january 1 1994,148
1 1994,149
general counsel,150
counsel federal,151
regulatory commission 825,152
commission 825,153
commission 825 north,154
825 north,155
825 north capitol,156
north capitol,157
north capitol street,158
capitol street,159
ne washington,160
ne washington dc,161
washington dc 20426,162
dc 20426,163
interested persons,164
normal business,165
normal business hours,166
business hours,167
room 3104,168
941 north,169
capitol street ne,170
street ne,171
street ne washington,172
electronic bulletin,173
bulletin board,174
united states court,175
states court,176
columbia circuit,177
court found,178
ozark gas,179
court remanded,180
order stated,181
90 days,182
full compliance,183
57 fr,184
iii ferc,185
iii ferc stats,186
ferc stats,187
53 fr,188
54 fr,189
55 fr,190
implementing selfimplementing,191
form 592,192
public participation,193
proposed rulemaking,194
public reporting,195
public reporting burden,196
reviewing instructions,197
reviewing instructions searching,198
instructions searching,199
instructions searching existing,200
searching existing,201
searching existing data,202
existing data,203
existing data sources,204
data sources,205
data sources gathering,206
sources gathering,207
data needed,208
annual reporting,209
significantly reduce,210
592 information,211
interested parties,212
send comments,213
including suggestions,214
services division,215
regulatory affairs,216
desk officer,217
hard copy,218
data collection,219
court stated,220
25 percent,221
revised standard,222
information related,223
information relating,224
public sources,225
marketing affiliate,226
gas marketing,227
potential shippers,228
approval provision,229
gas company,230
file form,231
4 1993,232
national fuel,233
national fuel gas,234
fuel gas,235
fuel gas supply,236
gas supply,237
pipeline company,238
joint parties,239
natural gas company,240
transmission corporation,241
pipeline corporation,242
parties assert,243
parties contend,244
parties argue,245
parties submit,246
relevant data,247
substantial evidence,248
market power,249
industry wide,250
industry wide industrywide,251
wide industrywide,252
interstate pipeline,253
parties state,254
information obtained,255
transportation service,256
court noted,257
matters relating,258
part 284,259
system management,260
capacity release,261
statutory authority,262
issues raised,263
general requirement,264
natural gas act,265
gas act,266
policy act,267
80 percent,268
100 percent,269
short term,270
short term shortterm,271
term shortterm,272
local distribution,273
provide additional,274
includes information,275
regulatory agencies,276
long term,277
long term longterm,278
term longterm,279
information needed,280
delivery point,281
equal access,282
maximum extent,283
maximum extent practicable,284
extent practicable,285
specific provisions,286
commission notes,287
sales made,288
information provided,289
requested comments,290
reporting requirement,291
public interest,292
hadson states,293
key personnel,294
tenneco asserts,295
tenneco states,296
total number,297
information requirements,298
required information,299
delivery points,300
information required,301
accurately reflect,302
daily basis,303
requirements including,304
ozark asserts,305
ozark contends,306
ozark submits,307
ozark argues,308
ozark states,309
rate schedules,310
management committee,311
committee meeting,312
interruptible transportation,313
blanket certificate,314
common control,315
order granting,316
10 percent,317
great lakes,318
section 7,319
july 5,320
january 3,321
gas pipeline,322
columbia gas,323
gas pipe,324
wholly owned,325
wholly owned whollyowned,326
owned whollyowned,327
owned whollyowned subsidiary,328
whollyowned subsidiary,329
transmission company,330
public nonpublic,331
section 4,332
52 fr,333
public notice,334
public record,335
judicial review,336
compliance plans,337
interested person,338
gas transmission company,339
natural gas pipeline,340
file comments,341
final order,342
texas eastern,343
management system,344
information contained,345
operating employees,346
rulemaking proceeding,347
day day,348
day day daytoday,349
day daytoday,350
office building,351
building maintenance,352
maintenance personnel,353
general accounting,354
commission believes,355
5 cfr,356
rule based,357
regulatory affairs office,358
affairs office,359
budget washington,360
budget washington dc,361
washington dc 20503,362
dc 20503,363
time period,364
30 day,365
compliance plan,366
june 30,367
services made,368
trademark office,369
37 cfr,370
part 2,371
trademark application,372
applicable provisions,373
december 3,374
supplementary information,375
rule change,376
public law,377
statutory provisions,378
fee schedule,379
fiscal year,380
fiscal year 1994,381
year 1994,382
omnibus budget,383
omnibus budget reconciliation,384
budget reconciliation,385
budget reconciliation act,386
reconciliation act,387
grace period,388
60 days,389
december 3 1993,390
filing date,391
executive order 12612,392
order 12612,393
paperwork reduction,394
paperwork reduction act,395
reduction act,396
federalism implications,397
administrative practice,398
2 section,399
revising paragraph,400
assistant secretary,401
national oceanic,402
atmospheric administration,403
50 cfr,404
50 cfr part,405
summer flounder,406
summer flounder fishery,407
flounder fishery,408
national marine,409
national marine fisheries,410
marine fisheries,411
marine fisheries service,412
fisheries service,413
commercial quota,414
north carolina,415
rhode island,416
effective dates,417
regulations implementing,418
fishery management,419
fishery management plan,420
management plan,421
calendar year,422
million pounds,423
interim rule,424
rule published,425
region nmfs,426
regional director,427
criteria set,428
1 1993,429
effective october,430
november 8,431
permit holders,432
year 1993,433
acting director,434
acting director office,435
director office,436
fisheries conservation,437
trip limit,438
florida west,439
florida west coast,440
west coast,441
west coast zone,442
coast zone,443
king mackerel,444
fishing year,445
75 percent,446
november 1,447
april 1,448
pacific coast,449
promulgated regulations,450
limited entry,451
limited entry limitedentry,452
entry limitedentry,453
entry limitedentry permit,454
limitedentry permit,455
vessel owners,456
limited entry permit,457
entry permit,458
pacific fishery,459
pacific fishery management,460
fishery management council,461
management council,462
public comment,463
limited entry permits,464
entry permits,465
management act,466
act 16,467
deputy assistant,468
deputy assistant administrator,469
assistant administrator,470
part ii,471
human services,472
drug administration,473
21 cfr,474
21 cfr parts,475
food labeling,476
general requirements,477
final rules,478
proposed rule,479
21 cfr part,480
cfr part 101,481
part 101,482
dietary supplements,483
july 1,484
july 1 1995,485
1 1995,486
mandatory nutrition,487
mandatory nutrition labeling,488
nutrition labeling,489
nutrient content,490
nutrient content claims,491
content claims,492
claims provisions,493
federal food,494
federal food drug,495
food drug,496
cosmetic act,497
vitamins minerals,498
vitamins minerals herbs,499
minerals herbs,500
similar nutritional,501
similar nutritional substances,502
nutritional substances,503
dietary supplement,504
dietary supplement act,505
supplement act,506
education act,507
1 year,508
agency finds,509
information contact,510
food safety,511
applied nutrition,512
drug administration 200,513
administration 200,514
sw washington,515
