term,term_id
federal,1
register,2
vol,3
59,4
no,5
2,6
tuesday,7
january,8
4,9
1994,10
rules,11
and,12
regulations,13
department,14
of,15
agriculture,16
agricultural,17
marketing,18
service,19
7,20
cfr,21
parts,22
907,23
908,24
fv93,25
1fir,26
navel,27
valencia,28
oranges,29
grown,30
in,31
arizona,32
designated,33
california,34
change,35
reporting,36
requirements,37
agency,38
usda,39
action,40
final,41
rule,42
summary,43
the,44
is,45
adopting,46
as,47
a,48
without,49
provisions,50
an,51
interim,52
changing,53
prescribed,54
under,55
californiaarizona,56
orange,57
orders,58
regulate,59
handling,60
are,61
administered,62
locally,63
by,64
administrative,65
committees,66
this,67
modifies,68
language,69
to,70
discontinue,71
use,72
form,73
38,74
weekly,75
report,76
product,77
byproduct,78
specify,79
that,80
3,81
daily,82
manifest,83
subject,84
allotment,85
only,86
be,87
utilized,88
for,89
rail,90
car,91
shipments,92
these,93
actions,94
reduce,95
burden,96
information,97
collection,98
effective,99
date,100
february,101
further,102
contact,103
caroline,104
c,105
thorpe,106
specialist,107
order,108
administration,109
branch,110
f,111
v,112
ams,113
room,114
2522,115
s,116
p.o,117
box,118
96456,119
washington,120
dc,121
20090,122
6456,123
telephone,124
202,125
720,126
5127,127
or,128
maureen,129
pello,130
field,131
office,132
2202,133
monterey,134
street,135
suite,136
102b,137
fresno,138
93721,139
209,140
487,141
5901,142
supplementary,143
issued,144
nos,145
amended,146
regulating,147
hereinafter,148
referred,149
agreement,150
act,151
1937,152
u.s.c,153
601,154
674,155
issuing,156
conformance,157
with,158
executive,159
12866,160
has,161
been,162
reviewed,163
12778,164
civil,165
justice,166
reform,167
not,168
intended,169
have,170
retroactive,171
effect,172
will,173
preempt,174
any,175
state,176
local,177
laws,178
policies,179
unless,180
they,181
present,182
irreconcilable,183
conflict,184
provides,185
proceedings,186
must,187
exhausted,188
before,189
parties,190
may,191
file,192
suit,193
court,194
section,195
8c(15)(a,196
handler,197
secretary,198
petition,199
stating,200
provision,201
obligation,202
imposed,203
connection,204
accordance,205
law,206
request,207
modification,208
exempted,209
therefrom,210
afforded,211
opportunity,212
hearing,213
on,214
after,215
would,216
district,217
united,218
states,219
which,220
inhabitant,221
his,222
her,223
principal,224
place,225
business,226
jurisdiction,227
equity,228
review,229
secretary's,230
ruling,231
provided,232
bill,233
filed,234
later,235
than,236
20,237
days,238
entry,239
pursuant,240
set,241
forth,242
regulatory,243
flexibility,244
rfa,245
administrator,246
considered,247
economic,248
impact,249
small,250
entities,251
purpose,252
fit,253
scale,254
such,255
businesses,256
unduly,257
disproportionately,258
burdened,259
thereunder,260
unique,261
brought,262
about,263
through,264
group,265
essentially,266
acting,267
their,268
own,269
behalf,270
thus,271
both,272
statutes,273
entity,274
orientation,275
compatibility,276
there,277
approximately,278
140,279
handlers,280
125,281
who,282
regulation,283
respective,284
3750,285
producers,286
3700,287
regulated,288
areas,289
addition,290
35,291
manufacturers,292
affected,293
firms,294
includes,295
defined,296
13,297
121.601,298
those,299
having,300
annual,301
receipts,302
