term,term_id
federal,1
register,2
vol,3
59,4
2,5
tuesday,6
january,7
4,8
1994,9
rules,10
regulations,11
department,12
agriculture,13
agricultural,14
marketing,15
service,16
7,17
cfr,18
parts,19
907,20
908,21
fv93,22
1fir,23
navel,24
valencia,25
oranges,26
grown,27
arizona,28
designated,29
california,30
change,31
reporting,32
requirements,33
agency,34
usda,35
action,36
final,37
rule,38
summary,39
adopting,40
provisions,41
interim,42
changing,43
prescribed,44
californiaarizona,45
orange,46
orders,47
regulate,48
handling,49
administered,50
locally,51
administrative,52
committees,53
modifies,54
language,55
discontinue,56
form,57
38,58
weekly,59
report,60
product,61
byproduct,62
3,63
daily,64
manifest,65
subject,66
allotment,67
utilized,68
rail,69
car,70
shipments,71
actions,72
reduce,73
burden,74
information,75
collection,76
effective,77
date,78
february,79
contact,80
caroline,81
thorpe,82
specialist,83
order,84
administration,85
branch,86
ams,87
room,88
2522,89
p.o,90
box,91
96456,92
washington,93
dc,94
20090,95
6456,96
telephone,97
202,98
720,99
5127,100
maureen,101
pello,102
field,103
office,104
2202,105
monterey,106
street,107
suite,108
102b,109
fresno,110
93721,111
209,112
487,113
5901,114
supplementary,115
issued,116
nos,117
amended,118
regulating,119
hereinafter,120
referred,121
agreement,122
act,123
1937,124
u.s.c,125
601,126
674,127
issuing,128
conformance,129
executive,130
12866,131
reviewed,132
12778,133
civil,134
justice,135
reform,136
intended,137
retroactive,138
effect,139
preempt,140
state,141
local,142
laws,143
policies,144
present,145
irreconcilable,146
conflict,147
proceedings,148
exhausted,149
parties,150
file,151
suit,152
court,153
section,154
8c(15)(a,155
handler,156
secretary,157
petition,158
stating,159
provision,160
obligation,161
imposed,162
connection,163
accordance,164
law,165
request,166
modification,167
exempted,168
therefrom,169
afforded,170
opportunity,171
hearing,172
district,173
united,174
states,175
inhabitant,176
principal,177
place,178
business,179
jurisdiction,180
equity,181
review,182
secretary's,183
ruling,184
provided,185
bill,186
filed,187
20,188
days,189
entry,190
pursuant,191
set,192
regulatory,193
flexibility,194
rfa,195
administrator,196
considered,197
economic,198
impact,199
small,200
entities,201
purpose,202
fit,203
scale,204
businesses,205
unduly,206
disproportionately,207
burdened,208
thereunder,209
unique,210
brought,211
group,212
essentially,213
acting,214
behalf,215
statutes,216
entity,217
orientation,218
compatibility,219
approximately,220
140,221
handlers,222
125,223
regulation,224
respective,225
3750,226
producers,227
3700,228
regulated,229
areas,230
addition,231
35,232
manufacturers,233
affected,234
firms,235
includes,236
defined,237
13,238
121.601,239
annual,240
receipts,241
3500000,242
500000,243
majority,244
processors,245
classified,246
finalizes,247
unanimously,248
recommended,249
october,250
8,251
1993,252
published,253
58,254
fr,255
53112,256
01-14-1993,257
§,258
907.131,259
907.141,260
908.131,261
908.141,262
day,263
30day,264
comment,265
period,266
ended,267
01-15-1993,268
comments,269
received,270
sections,271
907.67,272
908.67,273
provide,274
authority,275
exemption,276
commercial,277
processing,278
products,279
including,280
juice,281
prescribe,282
procedures,283
governing,284
included,285
ensure,286
persons,287
