term,term_id
feder,1
regist,2
vol,3
59,4
no,5
2,6
tuesday,7
januari,8
4,9
1994,10
rule,11
and,12
regul,13
depart,14
of,15
agricultur,16
market,17
servic,18
7,19
cfr,20
part,21
907,22
908,23
navel,24
valencia,25
orang,26
grown,27
in,28
arizona,29
design,30
california,31
chang,32
report,33
requir,34
final,35
the,36
is,37
adopt,38
as,39
a,40
without,41
provis,42
an,43
interim,44
prescrib,45
under,46
californiaarizona,47
order,48
handl,49
are,50
administ,51
local,52
by,53
administr,54
committe,55
thi,56
modifi,57
languag,58
to,59
discontinu,60
use,61
form,62
38,63
product,64
byproduct,65
specifi,66
that,67
3,68
manifest,69
subject,70
onli,71
be,72
util,73
for,74
rail,75
car,76
shipment,77
these,78
action,79
reduc,80
burden,81
inform,82
collect,83
effect,84
februari,85
further,86
carolin,87
c,88
thorp,89
specialist,90
branch,91
v,92
am,93
usda,94
room,95
s,96
box,97
96456,98
washington,99
dc,100
6456,101
telephon,102
5127,103
or,104
maureen,105
pello,106
field,107
offic,108
2202,109
monterey,110
street,111
suit,112
102b,113
fresno,114
93721,115
supplementari,116
issu,117
amend,118
hereinaft,119
refer,120
agreement,121
act,122
1937,123
conform,124
with,125
execut,126
12866,127
ha,128
been,129
review,130
12778,131
civil,132
justic,133
reform,134
not,135
intend,136
have,137
retroact,138
will,139
preempt,140
ani,141
state,142
law,143
polici,144
unless,145
they,146
present,147
irreconcil,148
conflict,149
provid,150
proceed,151
must,152
exhaust,153
befor,154
parti,155
may,156
file,157
court,158
section,159
handler,160
secretari,161
petit,162
oblig,163
impos,164
connect,165
accord,166
request,167
modif,168
exempt,169
therefrom,170
afford,171
opportun,172
hear,173
on,174
after,175
would,176
district,177
unit,178
which,179
inhabit,180
hi,181
her,182
princip,183
place,184
busi,185
jurisdict,186
equiti,187
bill,188
later,189
than,190
20,191
day,192
date,193
entri,194
pursuant,195
set,196
forth,197
regulatori,198
flexibl,199
consid,200
econom,201
impact,202
small,203
entiti,204
purpos,205
rfa,206
fit,207
scale,208
such,209
unduli,210
disproportion,211
thereund,212
uniqu,213
brought,214
about,215
through,216
group,217
essenti,218
their,219
own,220
behalf,221
thu,222
both,223
statut,224
orient,225
compat,226
there,227
approxim,228
140,229
125,230
who,231
respect,232
3750,233
produc,234
3700,235
area,236
addit,237
35,238
manufactur,239
affect,240
firm,241
includ,242
defin,243
those,244
annual,245
receipt,246
less,247
3500000,248
whose,249
500000,250
major,251
processor,252
classifi,253
were,254
unanim,255
recommend,256
wa,257
octob,258
8,259
1993,260
publish,261
fr,262
53112,263
30day,264
comment,265
period,266
end,267
receiv,268
author,269
from,270
commerci,271
process,272
into,273
juic,274
procedur,275
govern,276
certain,277
help,278
ensur,279
follow,280
exampl,281
person,282
wish,283
acquir,284
approv,285
submit,286
applic,287
14,288
list,289
complianc,290
investig,291
then,292
if,293
appropri,294
also,295
copi,296
15,297
divers,298
how,299
dispos,300
dure,301
crop,302
year,303
when,304
occur,305
submiss,306
longer,307
ad,308
1990,309
becaus,310
believ,311
did,312
enter,313
fresh,314
fruit,315
it,316
comparison,317
total,318
amount,319
give,320
method,321
verifi,322
all,323
howev,324
found,325
necessari,326
much,327
other,328
creat,329
revis,330
made,331
some,332
minor,333
clariti,334
second,335
concern,336
furnish,337
regard,338
carton,339
segreg,340
size,341
within,342
24,343
hour,344
indic,345
whether,346
destin,347
point,348
alaska,349
canada,350
ship,351
prior,352
truck,353
ident,354
assign,355
duplic,356
still,357
document,358
substanti,359
contain,360
referenc,361
previous,362
manag,363
budget,364
44,365
chapter,366
omb,367
number,368
0116,369
0121,370
25,371
had,372
complet,373
take,374
each,375
210,376
primarili,377
80,378
at,379
season,380
continu,381
base,382
consider,383
determin,384
signific,385
relev,386
materi,387
tend,388
effectu,389
declar,390
recordkeep,391
reason,392
preambl,393
1,394
citat,395
read,396
674,397
accordingli,398
58,399
robert,400
keeney,401
deputi,402
director,403
veget,404
doc,405
55,406
94,407
code,408
p,409
secur,410
exchang,411
commiss,412
17,413
239,414
7040,415
intern,416
seri,417
releas,418
625,419
rin,420
af83,421
multijurisdict,422
disclosur,423
system,424
canadian,425
issuer,426
9,427
recogn,428
invest,429
grade,430
rate,431
organ,432
f,433
light,434
experi,435
mjd,436
should,437
facilit,438
transnat,439
capit,440
format,441
parallel,442
paul,443
m,444
dudek,445
3246,446
corpor,447
financ,448
divis,449
20549,450
i,451
novemb,452
sever,453
relat,454
recognit,455
becom,456
until,457
time,458
7025,459
now,460
result,461
make,462
describ,463
abov,464
ii,465
certif,466
propos,467
herebi,468
chairman,469
certifi,470
therefor,471
attach,472
appendix,473
iii,474
cost,475
benefit,476
costbenefit,477
analysi,478
specif,479
data,480
respons,481
today,482
save,483
expens,484
obtain,485
current,486
iv,487
shall,488
public,489
allow,490
30,491
substant,492
grant,493
reliev,494
5,495
statutori,496
6,497
10,498
1933,499
4a,500
12,501
13,502
16,503
23,504
1934,505
text,506
forego,507
titl,508
77f,509
77g,510
77h,511
77j,512
77,513
77sss,514
78c,515
78,516
l,517
78m,518
78n,519
o,520
ll,521
79e,522
79f,523
79g,524
79j,525
79,526
79m,527
79n,528
79q,529
79t,530
80a8,531
80a29,532
80a30,533
80a37,534
otherwis,535
instruct,536
paragraph,537
registr,538
debt,539
prefer,540
sale,541
least,542
one,543
nation,544
statist,545
term,546
statement,547
45,548
same,549
gener,550
categori,551
signifi,552
typic,553
four,554
highest,555
subcategori,556
gradat,557
rel,558
doe,559
appear,560
elig,561
margaret,562
h,563
mcfarland,564
energi,565
18,566
161,567
250,568
012,569
003,570
inquiri,571
alleg,572
anticompetit,573
practic,574
affili,575
interst,576
pipelin,577
ozark,578
ga,579
transmiss,580
rehear,581
extend,582
sunset,583
remand,584
decis,585
appeal,586
circuit,587
upheld,588
relationship,589
between,590
natur,591
broker,592
among,593
thing,594
narrow,595
scope,596
contemporan,597
delet,598
remain,599
david,600
faerberg,601
counsel,602
825,603
north,604
capitol,605
ne,606
20426,607
1275,608
full,609
interest,610
inspect,611
content,612
normal,613
3104,614
941,615
issuanc,616
post,617
electron,618
bulletin,619
board,620
access,621
formal,622
cip,623
avail,624
charg,625
user,626
comput,627
modem,628
dial,629
1397,630
your,631
commun,632
softwar,633
300,634
1200,635
2400,636
bp,637
duplex,638
pariti,639
bit,640
stop,641
can,642
9600,643
1781,644
diskett,645
wordperfect,646
purchas,647
contractor,648
la,649
dorn,650
locat,651
introduct,652
decemb,653
1992,654
d,655
opinion,656
columbia,657
tenneco,658
497,659
adequ,660
justifi,661
extens,662
consolid,663
case,664
upon,665
evid,666
record,667
er,668
find,669
joint,670
ventur,671
31,672
90,673
individu,674
636,675
transport,676
log,677
maintain,678
57,679
58978,680
ferc,681
stat,682
reg,683
30958,684
969,685
1187,686
cir,687
53,688
22139,689
30820,690
54,691
52781,692
30868,693
b,694
53291,695
30908,696
30934,697
deni,698
5815,699
61139,700
49,701
61247,702
self,703
implement,704
selfimpl,705
partial,706
wellhead,707
decontrol,708
13267,709
30939,710
36128,711
30950,712
57911,713
61,714
61272,715
62,716
61007,717
affirm,718
elimin,719
592,720
reject,721
hadson,722
argument,723
prohibit,724
particip,725
futur,726
standard,727
conduct,728
waiver,729
notic,730
suitabl,731
clarifi,732
what,733
type,734
employe,735
concurr,736
rulemak,737
docket,738
000,739
expect,740
unchang,741
estim,742
averag,743
per,744
search,745
exist,746
sourc,747
gather,748
need,749
7882,750
793,751
respond,752
nopr,753
significantli,754
evalu,755
prepar,756
transact,757
send,758
aspect,759
suggest,760
reduct,761
michael,762
miller,763
1415,764
fax,765
sent,766
affair,767
20503,768
desk,769
hard,770
3308,771
background,772
uphold,773
reconsid,774
justif,775
appli,776
tailor,777
meet,778
goal,779
improv,780
consum,781
well,782
prevent,783
undu,784
matter,785
releasedga,786
might,787
fundament,788
could,789
avoid,790
litig,791
over,792
announc,793
partnership,794
compos,795
subsidiari,796
percent,797
ownership,798
vote,799
fail,800
abil,801
owner,802
control,803
1201,804
id,805
1202,806
structur,807
industri,808
disclos,809
two,810
off,811
but,812
involv,813
extent,814
potenti,815
shipper,816
nonaffili,817
advic,818
begin,819
despit,820
fact,821
partner,822
parent,823
compani,824
line,825
exercis,826
even,827
tennesse,828
alon,829
direct,830
sinc,831
veto,832
power,833
simpli,834
withhold,835
manner,836
either,837
refus,838
engag,839
independ,840
competit,841
neg,842
actual,843
import,844
role,845
play,846
although,847
engend,848
remov,849
minimum,850
capac,851
offer,852
marketingrel,853
casespecif,854
taken,855
ebb,856
mean,857
mandat,858
conoco,859
inc,860
anadarko,861
petroleum,862
corp,863
chevron,864
texaco,865
fuel,866
suppli,867
associ,868
america,869
anr,870
colorado,871
william,872
midcon,873
enron,874
cng,875
northwest,876
discuss,877
below,878
ingaa,879
cig,880
assert,881
given,882
inconsist,883
contend,884
limit,885
exclus,886
offsystem,887
