term_id,doc_id,term_frequency,df
1,"{'FR940104-0-00001': 1, 'FR940104-0-00003': 1, 'FR940104-0-00004': 1, 'FR940104-0-00005': 2, 'FR940104-0-00007': 1, 'FR940104-0-00008': 1, 'FR940104-0-00020': 1, 'FR940104-0-00021': 1, 'FR940104-0-00023': 1, 'FR940104-0-00027': 1, 'FR940104-0-00028': 2, 'FR940104-0-00030': 1, 'FR940104-0-00031': 3, 'FR940104-0-00032': 19, 'FR940104-0-00033': 15, 'FR940104-0-00034': 12, 'FR940104-0-00035': 5, 'FR940104-0-00036': 4, 'FR940104-0-00037': 1, 'FR940104-0-00038': 2, 'FR940104-0-00052': 1, 'FR940104-0-00062': 1, 'FR940104-0-00069': 3, 'FR940104-0-00070': 2, 'FR940104-0-00093': 1, 'FR940104-2-00001': 1, 'FR940104-2-00007': 2, 'FR940104-2-00009': 1, 'FR940104-2-00012': 1, 'FR940104-2-00014': 4, 'FR940104-2-00015': 1, 'FR940104-2-00016': 1, 'FR940104-2-00017': 1, 'FR940104-2-00023': 1, 'FR940104-2-00024': 1, 'FR940104-2-00030': 1, 'FR940104-2-00035': 3, 'FR940104-2-00036': 4, 'FR940104-2-00049': 1, 'FR940104-2-00052': 3, 'FR940104-2-00060': 1, 'FR940104-2-00064': 1, 'FR940104-2-00080': 1, 'FR940104-2-00087': 1, 'FR940104-2-00090': 1, 'FR940104-2-00095': 1, 'FR940104-2-00101': 2, 'FR940104-2-00102': 1, 'FR940128-2-00001': 1, 'FR940128-2-00004': 2, 'FR940128-2-00008': 2, 'FR940128-2-00019': 1, 'FR940128-2-00020': 1, 'FR940128-2-00024': 1, 'FR940128-2-00025': 2, 'FR940128-2-00028': 2, 'FR940128-2-00032': 1, 'FR940128-2-00037': 1, 'FR940128-2-00038': 1, 'FR940128-2-00039': 1, 'FR940128-2-00040': 1, 'FR940128-2-00041': 2, 'FR940128-2-00047': 1, 'FR940128-2-00048': 1, 'FR940128-2-00050': 1, 'FR940128-2-00051': 1, 'FR940128-2-00052': 1, 'FR940128-2-00053': 1, 'FR940128-2-00058': 1, 'FR940128-2-00059': 1, 'FR940128-2-00060': 1, 'FR940128-2-00061': 1, 'FR940128-2-00062': 1, 'FR940128-2-00065': 1, 'FR940128-2-00071': 1, 'FR940128-2-00072': 2, 'FR940128-2-00098': 1, 'FR940128-2-00099': 1, 'FR940128-2-00106': 1, 'FR940128-2-00121': 1, 'FR940128-2-00124': 1, 'FR940128-2-00125': 1, 'FR940128-2-00126': 3, 'FR940128-2-00127': 2, 'FR940128-2-00128': 1, 'FR940128-2-00129': 1, 'FR940128-2-00131': 1, 'FR940128-2-00132': 1, 'FR940128-2-00139': 2, 'FR940128-2-00141': 1, 'FR940128-2-00143': 2, 'FR940128-2-00151': 1, 'FR940128-2-00155': 1, 'FR940128-2-00156': 1, 'FR940128-2-00157': 1, 'FR940128-2-00158': 1, 'FR940128-2-00159': 1, 'FR940128-2-00160': 1, 'FR940128-2-00161': 2, 'FR940128-2-00164': 2, 'FR940128-2-00166': 2, 'FR940128-2-00167': 2, 'FR940128-2-00168': 2, 'FR940128-2-00187': 2, 'FR940128-2-00190': 1, 'FR940128-2-00191': 1, 'FR940128-2-00210': 2, 'FR940128-2-00211': 1, 'FR940128-2-00218': 1, 'FR940128-2-00219': 1, 'FR940128-2-00221': 1, 'FR940128-2-00224': 1, 'FR940128-2-00228': 1, 'FR940128-2-00238': 2, 'FR940128-2-00243': 2, 'FR940128-2-00246': 1, 'FR940303-1-00001': 1, 'FR940303-1-00004': 2, 'FR940303-1-00034': 1, 'FR940303-1-00039': 1, 'FR940303-1-00043': 1, 'FR940303-1-00050': 1, 'FR940303-1-00055': 1, 'FR940303-1-00057': 1, 'FR940303-1-00060': 1, 'FR940303-1-00065': 1, 'FR940405-1-00001': 1, 'FR940405-1-00002': 1, 'FR940405-1-00026': 2, 'FR940405-1-00030': 1, 'FR940405-1-00031': 1, 'FR940405-1-00032': 1, 'FR940405-1-00034': 2, 'FR940405-1-00122': 1, 'FR940405-1-00136': 2, 'FR940525-0-00001': 1, 'FR940525-0-00002': 1, 'FR940525-0-00005': 1, 'FR940525-0-00012': 2, 'FR940525-0-00015': 7, 'FR940525-0-00016': 2, 'FR940525-0-00022': 1, 'FR940525-0-00023': 4, 'FR940525-0-00024': 3, 'FR940525-0-00025': 4, 'FR940525-0-00026': 3, 'FR940525-0-00027': 3, 'FR940525-0-00028': 3, 'FR940525-0-00029': 4, 'FR940525-0-00032': 1, 'FR940525-0-00033': 1, 'FR940525-0-00042': 1, 'FR940525-0-00044': 3, 'FR940525-0-00045': 1, 'FR940525-0-00048': 1, 'FR940525-0-00052': 1, 'FR940525-0-00064': 1, 'FR940525-0-00067': 1, 'FR940525-0-00072': 3, 'FR940525-0-00074': 2, 'FR940525-0-00075': 1, 'FR940617-2-00001': 1, 'FR940617-2-00004': 1, 'FR940617-2-00006': 1, 'FR940617-2-00010': 1, 'FR940617-2-00011': 1, 'FR940617-2-00012': 1, 'FR940617-2-00014': 1, 'FR940617-2-00015': 1, 'FR940617-2-00019': 1, 'FR940617-2-00021': 1, 'FR940617-2-00024': 2, 'FR940617-2-00025': 1, 'FR940617-2-00035': 1, 'FR940617-2-00038': 1, 'FR940617-2-00042': 1, 'FR940617-2-00043': 1, 'FR940617-2-00050': 1, 'FR940617-2-00051': 1, 'FR940617-2-00052': 1, 'FR940617-2-00053': 1, 'FR940617-2-00054': 1, 'FR940617-2-00055': 2, 'FR940617-2-00056': 1, 'FR940617-2-00058': 1, 'FR940617-2-00059': 3, 'FR940617-2-00088': 1, 'FR940617-2-00090': 1, 'FR940617-2-00099': 1, 'FR940617-2-00107': 1, 'FR940617-2-00111': 2, 'FR940617-2-00112': 1, 'FR940617-2-00114': 1, 'FR940617-2-00115': 1, 'FR940617-2-00116': 3, 'FR940617-2-00124': 1, 'FR940617-2-00125': 1, 'FR940617-2-00127': 1, 'FR940617-2-00131': 1, 'FR940617-2-00132': 2, 'FR940617-2-00136': 1, 'FR940617-2-00137': 1, 'FR940617-2-00141': 3, 'FR940617-2-00142': 1, 'FR940617-2-00143': 1, 'FR940617-2-00146': 1, 'FR940617-2-00147': 1, 'FR940617-2-00148': 1, 'FR940617-2-00169': 1, 'FR940617-2-00194': 1, 'FR940617-2-00195': 1, 'FR940617-2-00196': 1, 'FR940617-2-00197': 2, 'FR940617-2-00198': 1, 'FR940617-2-00204': 1, 'FR940617-2-00207': 3, 'FR940617-2-00209': 1, 'FR940617-2-00210': 1, 'FR940617-2-00211': 2, 'FR940617-2-00222': 1, 'FR940617-2-00231': 1, 'FR940617-2-00241': 1, 'FR940617-2-00243': 1, 'FR940617-2-00244': 2, 'FR940617-2-00245': 1, 'FR940810-0-00001': 1, 'FR940810-0-00003': 1, 'FR940810-0-00007': 1, 'FR940810-0-00009': 1, 'FR940810-0-00010': 1, 'FR940810-0-00012': 1, 'FR940810-0-00014': 2, 'FR940810-0-00018': 4, 'FR940810-0-00022': 1, 'FR940810-0-00025': 1, 'FR940810-0-00026': 1, 'FR940810-0-00027': 1, 'FR940810-0-00028': 1, 'FR940810-0-00031': 1, 'FR940810-0-00033': 2, 'FR940810-0-00034': 4, 'FR940810-0-00038': 1, 'FR940810-0-00041': 1, 'FR940810-0-00044': 1, 'FR940810-0-00050': 1, 'FR940810-0-00116': 1, 'FR940810-0-00135': 1, 'FR940810-0-00185': 2, 'FR940810-0-00207': 1, 'FR940810-0-00221': 1, 'FR940810-0-00250': 1, 'FR940810-0-00282': 1, 'FR940810-0-00309': 1, 'FR940810-0-00329': 1, 'FR940810-0-00330': 4, 'FR940810-2-00001': 1, 'FR940810-2-00006': 1, 'FR940810-2-00008': 1, 'FR940810-2-00009': 1, 'FR940810-2-00011': 1, 'FR940810-2-00012': 2, 'FR940810-2-00014': 1, 'FR940810-2-00016': 1, 'FR940810-2-00018': 1, 'FR940810-2-00019': 1, 'FR940810-2-00020': 1, 'FR940810-2-00021': 1, 'FR940810-2-00027': 1, 'FR940810-2-00028': 3, 'FR940810-2-00030': 2, 'FR940810-2-00031': 1, 'FR940810-2-00046': 1, 'FR940810-2-00047': 1, 'FR940810-2-00057': 6, 'FR940810-2-00058': 1, 'FR940810-2-00060': 1, 'FR940810-2-00069': 1, 'FR940810-2-00073': 2, 'FR940810-2-00078': 1, 'FR940810-2-00079': 1, 'FR940810-2-00085': 1, 'FR940810-2-00089': 1, 'FR940810-2-00091': 1, 'FR940810-2-00097': 1, 'FR940810-2-00104': 1, 'FR940810-2-00115': 1, 'FR940810-2-00117': 1, 'FR940810-2-00136': 1, 'FR940810-2-00137': 1, 'FR940810-2-00138': 2, 'FR940810-2-00139': 1, 'FR940810-2-00144': 1, 'FR940810-2-00147': 4, 'FR940810-2-00148': 2, 'FR941006-1-00001': 1, 'FR941006-1-00042': 1, 'FR941006-1-00053': 1, 'FR941006-1-00064': 2, 'FR941006-1-00066': 1, 'FR941006-1-00068': 1, 'FR941006-1-00105': 1, 'FR941006-1-00122': 3, 'FR941006-1-00153': 2, 'FR941206-1-00001': 1, 'FR941206-1-00027': 3, 'FR941206-1-00028': 3, 'FR941206-1-00029': 1, 'FR941206-1-00039': 1, 'FR941206-1-00041': 2, 'FR941206-1-00042': 1, 'FR941206-1-00058': 1, 'FR941206-1-00061': 1, 'FR941206-1-00092': 1, 'FR941206-1-00093': 1, 'FR941206-1-00104': 1, 'FR941206-1-00129': 1, 'FR941206-1-00134': 20, 'FR941206-1-00135': 1}",512,318
2,"{'FR940104-0-00001': 2, 'FR940104-0-00031': 1, 'FR940104-0-00035': 1, 'FR940104-0-00037': 1, 'FR940104-0-00052': 1, 'FR940104-0-00069': 1, 'FR940104-0-00093': 1, 'FR940104-2-00001': 2, 'FR940104-2-00090': 1, 'FR940104-2-00095': 1, 'FR940128-2-00001': 2, 'FR940128-2-00238': 2, 'FR940128-2-00243': 1, 'FR940128-2-00246': 1, 'FR940303-1-00001': 2, 'FR940303-1-00034': 1, 'FR940303-1-00055': 1, 'FR940405-1-00001': 2, 'FR940405-1-00034': 1, 'FR940405-1-00136': 1, 'FR940525-0-00001': 2, 'FR940525-0-00074': 1, 'FR940617-2-00001': 2, 'FR940617-2-00038': 1, 'FR940617-2-00198': 2, 'FR940617-2-00204': 1, 'FR940617-2-00210': 1, 'FR940617-2-00222': 1, 'FR940617-2-00241': 1, 'FR940617-2-00244': 1, 'FR940617-2-00245': 1, 'FR940810-0-00001': 2, 'FR940810-0-00041': 1, 'FR940810-0-00330': 1, 'FR940810-2-00001': 2, 'FR940810-2-00091': 1, 'FR940810-2-00144': 2, 'FR940810-2-00147': 1, 'FR940810-2-00148': 1, 'FR941006-1-00001': 2, 'FR941006-1-00068': 1, 'FR941006-1-00105': 1, 'FR941206-1-00001': 2, 'FR941206-1-00134': 1, 'FR941206-1-00135': 1}",59,45
3,"{'FR940104-0-00001': 2, 'FR940104-0-00031': 1, 'FR940104-0-00035': 1, 'FR940104-0-00037': 1, 'FR940104-0-00052': 1, 'FR940104-0-00093': 1, 'FR940104-2-00001': 2, 'FR940104-2-00087': 2, 'FR940104-2-00089': 1, 'FR940104-2-00090': 1}",13,10
4,"{'FR940104-0-00001': 2, 'FR940104-0-00031': 1, 'FR940104-0-00035': 1, 'FR940104-0-00037': 1, 'FR940104-0-00052': 1, 'FR940104-0-00093': 1, 'FR940104-2-00001': 2, 'FR940104-2-00087': 2, 'FR940104-2-00090': 1}",12,9
5,"{'FR940104-0-00001': 2, 'FR940104-0-00005': 1, 'FR940104-0-00010': 1, 'FR940104-0-00031': 3, 'FR940104-0-00035': 1, 'FR940104-0-00037': 2, 'FR940104-0-00052': 3, 'FR940104-0-00069': 3, 'FR940104-0-00093': 3, 'FR940104-2-00001': 2, 'FR940104-2-00059': 1, 'FR940104-2-00064': 1, 'FR940104-2-00087': 2, 'FR940104-2-00090': 2, 'FR940104-2-00095': 2, 'FR940128-2-00050': 1, 'FR940810-0-00044': 1, 'FR941006-1-00004': 1, 'FR941006-1-00121': 1, 'FR941206-1-00040': 2}",35,20
6,"{'FR940104-0-00001': 2, 'FR940104-0-00031': 3, 'FR940104-0-00035': 1, 'FR940104-0-00037': 2, 'FR940104-0-00052': 2, 'FR940104-0-00069': 3, 'FR940104-0-00093': 2, 'FR940104-2-00001': 2, 'FR940104-2-00059': 1, 'FR940104-2-00087': 2, 'FR940104-2-00090': 2, 'FR940104-2-00095': 2}",24,12
7,"{'FR940104-0-00001': 2, 'FR940104-0-00031': 3, 'FR940104-0-00035': 1, 'FR940104-0-00037': 2, 'FR940104-0-00052': 2, 'FR940104-0-00069': 3, 'FR940104-0-00093': 2, 'FR940104-2-00001': 2, 'FR940104-2-00026': 1, 'FR940104-2-00059': 1, 'FR940104-2-00087': 2, 'FR940104-2-00090': 2, 'FR940104-2-00095': 2, 'FR940128-2-00203': 1, 'FR940303-1-00027': 3, 'FR940405-1-00008': 1, 'FR940617-2-00016': 1, 'FR940617-2-00054': 1, 'FR940617-2-00067': 1, 'FR940810-0-00014': 1, 'FR940810-0-00020': 1, 'FR940810-2-00007': 1, 'FR940810-2-00012': 1, 'FR940810-2-00018': 1, 'FR940810-2-00048': 1, 'FR940810-2-00063': 1, 'FR940810-2-00064': 1, 'FR940810-2-00066': 1, 'FR940810-2-00067': 1, 'FR940810-2-00085': 1, 'FR940810-2-00103': 1, 'FR940810-2-00137': 1, 'FR940810-2-00142': 1, 'FR941206-1-00037': 1, 'FR941206-1-00134': 1}",49,35
8,"{'FR940104-0-00002': 3, 'FR940405-1-00002': 2, 'FR940405-1-00003': 3, 'FR940405-1-00005': 1, 'FR940525-0-00002': 3}",12,5
9,"{'FR940104-0-00002': 2, 'FR940405-1-00002': 2, 'FR940405-1-00003': 2, 'FR940525-0-00002': 2}",8,4
10,"{'FR940104-0-00002': 3, 'FR940405-1-00002': 2, 'FR940405-1-00003': 3, 'FR940525-0-00002': 3}",11,4
11,"{'FR940104-0-00002': 1, 'FR940104-0-00004': 5, 'FR940104-0-00093': 3, 'FR940104-0-00094': 1, 'FR940104-0-00095': 2, 'FR940104-0-00099': 2, 'FR940104-2-00002': 1, 'FR940128-2-00002': 1, 'FR940303-1-00054': 1, 'FR940303-1-00064': 2, 'FR940405-1-00002': 1, 'FR940405-1-00003': 1, 'FR940405-1-00004': 1, 'FR940405-1-00005': 1, 'FR940525-0-00002': 1, 'FR940525-0-00005': 3, 'FR940617-2-00007': 1, 'FR940810-0-00007': 2, 'FR940810-0-00009': 5, 'FR940810-0-00010': 1, 'FR940810-0-00011': 1, 'FR941006-1-00003': 2, 'FR941006-1-00008': 1, 'FR941206-1-00025': 2}",42,24
12,"{'FR940104-0-00002': 2, 'FR940104-0-00004': 3, 'FR940104-0-00007': 1, 'FR940104-0-00031': 1, 'FR940104-0-00034': 1, 'FR940104-0-00037': 2, 'FR940104-0-00051': 1, 'FR940104-0-00052': 2, 'FR940128-2-00035': 1, 'FR940128-2-00036': 1, 'FR940128-2-00058': 1, 'FR940128-2-00059': 1, 'FR940128-2-00063': 1, 'FR940128-2-00187': 1, 'FR940303-1-00004': 1, 'FR940303-1-00048': 2, 'FR940303-1-00055': 2, 'FR940303-1-00063': 1, 'FR940405-1-00017': 1, 'FR940405-1-00034': 2, 'FR940405-1-00036': 1, 'FR940405-1-00114': 1, 'FR940405-1-00128': 1, 'FR940405-1-00136': 2, 'FR940405-1-00145': 1, 'FR940525-0-00019': 2, 'FR940525-0-00030': 1, 'FR940617-2-00147': 1, 'FR940617-2-00151': 1, 'FR940810-0-00002': 3, 'FR940810-0-00003': 3, 'FR940810-0-00004': 1, 'FR940810-0-00007': 1, 'FR940810-0-00010': 1, 'FR940810-0-00019': 4, 'FR940810-0-00040': 1, 'FR940810-0-00041': 2, 'FR940810-0-00129': 1, 'FR940810-0-00186': 1, 'FR940810-0-00330': 2, 'FR940810-2-00018': 1, 'FR940810-2-00031': 1, 'FR940810-2-00035': 1, 'FR940810-2-00037': 1, 'FR940810-2-00041': 1, 'FR940810-2-00101': 1, 'FR941006-1-00020': 1, 'FR941006-1-00068': 2, 'FR941006-1-00083': 4, 'FR941006-1-00084': 1, 'FR941006-1-00087': 1, 'FR941006-1-00088': 1, 'FR941006-1-00096': 1, 'FR941006-1-00104': 1, 'FR941006-1-00105': 1, 'FR941006-1-00139': 1, 'FR941006-1-00155': 1, 'FR941206-1-00002': 1, 'FR941206-1-00020': 1, 'FR941206-1-00023': 1, 'FR941206-1-00024': 1, 'FR941206-1-00031': 1, 'FR941206-1-00121': 2, 'FR941206-1-00130': 1, 'FR941206-1-00134': 9, 'FR941206-1-00135': 1, 'FR941206-1-00142': 1}",99,67
13,"{'FR940104-0-00002': 3, 'FR940104-0-00003': 2, 'FR940104-0-00004': 2}",7,3
14,"{'FR940104-0-00002': 2, 'FR940104-0-00003': 2, 'FR940104-0-00008': 3, 'FR940104-0-00009': 4, 'FR940104-0-00010': 1, 'FR940104-0-00014': 1, 'FR940104-0-00015': 2, 'FR940104-0-00017': 1, 'FR940104-0-00020': 1, 'FR940104-0-00021': 2, 'FR940104-0-00022': 4, 'FR940104-0-00023': 6, 'FR940104-0-00071': 1, 'FR940104-2-00002': 1, 'FR940128-2-00140': 2, 'FR940128-2-00147': 2, 'FR940128-2-00151': 1, 'FR940128-2-00152': 5, 'FR940128-2-00186': 1, 'FR940128-2-00243': 2, 'FR940128-2-00245': 1, 'FR940303-1-00031': 1, 'FR940405-1-00014': 2, 'FR940405-1-00033': 1, 'FR940525-0-00037': 1, 'FR940525-0-00071': 1, 'FR940525-0-00072': 1, 'FR940617-2-00098': 1, 'FR940617-2-00110': 2, 'FR940617-2-00113': 1, 'FR940617-2-00114': 1, 'FR940617-2-00125': 1, 'FR940617-2-00130': 3, 'FR940617-2-00131': 1, 'FR940617-2-00153': 1, 'FR940810-0-00051': 1, 'FR940810-0-00052': 5, 'FR940810-0-00264': 1, 'FR940810-0-00312': 1, 'FR941006-1-00066': 1, 'FR941206-1-00083': 1, 'FR941206-1-00086': 2, 'FR941206-1-00090': 1, 'FR941206-1-00091': 1, 'FR941206-1-00092': 1, 'FR941206-1-00098': 2, 'FR941206-1-00112': 1, 'FR941206-1-00113': 2, 'FR941206-1-00116': 1, 'FR941206-1-00134': 5}",89,50
15,"{'FR940104-0-00002': 3, 'FR940104-0-00003': 2, 'FR940104-0-00004': 5, 'FR940104-0-00007': 3, 'FR940104-0-00008': 2, 'FR940104-0-00009': 1, 'FR940104-0-00022': 1, 'FR940104-0-00023': 2, 'FR940104-0-00029': 1, 'FR940104-0-00030': 4, 'FR940104-0-00031': 3, 'FR940104-0-00032': 25, 'FR940104-0-00033': 20, 'FR940104-0-00034': 49, 'FR940104-0-00035': 4, 'FR940104-0-00036': 1, 'FR940104-0-00037': 1, 'FR940104-0-00038': 1, 'FR940104-0-00040': 1, 'FR940104-0-00046': 1, 'FR940104-0-00050': 2, 'FR940104-0-00052': 3, 'FR940104-0-00053': 2, 'FR940104-0-00055': 1, 'FR940104-0-00056': 1, 'FR940104-0-00058': 1, 'FR940104-0-00060': 2, 'FR940104-0-00061': 3, 'FR940104-0-00062': 1, 'FR940104-0-00064': 3, 'FR940104-0-00066': 5, 'FR940104-0-00069': 1, 'FR940104-0-00093': 3, 'FR940104-2-00002': 1, 'FR940104-2-00064': 1, 'FR940104-2-00102': 2, 'FR940128-2-00244': 2, 'FR940303-1-00004': 1, 'FR940405-1-00012': 1, 'FR940405-1-00030': 1, 'FR940405-1-00079': 1, 'FR940405-1-00122': 1, 'FR940525-0-00002': 6, 'FR940525-0-00004': 1, 'FR940525-0-00005': 1, 'FR940525-0-00011': 7, 'FR940525-0-00015': 8, 'FR940525-0-00016': 10, 'FR940525-0-00017': 4, 'FR940525-0-00024': 1, 'FR940525-0-00030': 1, 'FR940525-0-00033': 6, 'FR940525-0-00037': 3, 'FR940525-0-00041': 3, 'FR940525-0-00042': 8, 'FR940525-0-00054': 1, 'FR940525-0-00055': 2, 'FR940525-0-00056': 4, 'FR940525-0-00058': 1, 'FR940525-0-00060': 1, 'FR940525-0-00064': 5, 'FR940525-0-00065': 1, 'FR940525-0-00066': 2, 'FR940525-0-00067': 1, 'FR940525-0-00072': 1, 'FR940525-0-00074': 1, 'FR940525-0-00075': 5, 'FR940525-0-00077': 1, 'FR940617-2-00052': 1, 'FR940617-2-00088': 3, 'FR940617-2-00091': 2, 'FR940617-2-00100': 1, 'FR940617-2-00197': 3, 'FR940617-2-00201': 1, 'FR940617-2-00209': 1, 'FR940810-0-00004': 1, 'FR940810-0-00007': 2, 'FR940810-0-00008': 1, 'FR940810-0-00009': 1, 'FR940810-0-00010': 4, 'FR940810-0-00011': 1, 'FR940810-0-00012': 2, 'FR940810-0-00014': 1, 'FR940810-0-00017': 1, 'FR940810-0-00018': 3, 'FR940810-0-00019': 4, 'FR940810-0-00020': 3, 'FR940810-0-00026': 2, 'FR940810-0-00027': 2, 'FR940810-0-00028': 2, 'FR940810-0-00031': 1, 'FR940810-0-00032': 1, 'FR940810-0-00033': 5, 'FR940810-0-00034': 3, 'FR940810-0-00035': 1, 'FR940810-0-00038': 2, 'FR940810-0-00040': 1, 'FR940810-0-00041': 1, 'FR940810-0-00047': 1, 'FR940810-0-00063': 1, 'FR940810-0-00077': 1, 'FR940810-0-00102': 1, 'FR940810-0-00120': 1, 'FR940810-0-00122': 1, 'FR940810-0-00140': 1, 'FR940810-0-00150': 1, 'FR940810-0-00151': 1, 'FR940810-0-00152': 1, 'FR940810-0-00155': 1, 'FR940810-0-00160': 1, 'FR940810-0-00207': 1, 'FR940810-0-00250': 1, 'FR940810-0-00309': 1, 'FR940810-0-00330': 1, 'FR940810-2-00085': 1, 'FR940810-2-00148': 2, 'FR941006-1-00017': 1, 'FR941006-1-00021': 1, 'FR941006-1-00029': 3, 'FR941006-1-00050': 1, 'FR941006-1-00105': 1, 'FR941006-1-00122': 2, 'FR941006-1-00135': 1, 'FR941006-1-00153': 2, 'FR941206-1-00039': 1, 'FR941206-1-00046': 1, 'FR941206-1-00087': 1, 'FR941206-1-00089': 1, 'FR941206-1-00115': 1, 'FR941206-1-00120': 1, 'FR941206-1-00127': 1, 'FR941206-1-00134': 16}",365,132
16,"{'FR940104-0-00002': 3, 'FR940104-0-00003': 3, 'FR940525-0-00003': 1}",7,3
17,"{'FR940104-0-00002': 1, 'FR940104-0-00003': 8, 'FR940104-0-00004': 1}",10,3
18,"{'FR940104-0-00002': 1, 'FR940104-0-00003': 11, 'FR940303-1-00006': 1}",13,3
19,"{'FR940104-0-00002': 1, 'FR940104-0-00003': 5, 'FR940104-0-00004': 1}",7,3
20,"{'FR940104-0-00002': 1, 'FR940104-0-00004': 1, 'FR940104-0-00009': 1, 'FR940104-0-00022': 3, 'FR940104-0-00025': 1, 'FR940104-0-00052': 1, 'FR940104-0-00066': 1, 'FR940104-2-00043': 1, 'FR940104-2-00044': 4, 'FR940104-2-00079': 2, 'FR940104-2-00096': 1, 'FR940128-2-00104': 2, 'FR940128-2-00105': 3, 'FR940128-2-00122': 6, 'FR940128-2-00123': 5, 'FR940128-2-00234': 4, 'FR940128-2-00235': 4, 'FR940128-2-00236': 3, 'FR940405-1-00003': 1, 'FR940405-1-00036': 1, 'FR940405-1-00126': 3, 'FR940525-0-00004': 1, 'FR940525-0-00033': 1, 'FR940525-0-00041': 2, 'FR940525-0-00067': 1, 'FR940617-2-00048': 1, 'FR940617-2-00086': 4, 'FR940617-2-00096': 3, 'FR940617-2-00097': 3, 'FR940617-2-00123': 1, 'FR940810-0-00009': 1, 'FR940810-0-00011': 1, 'FR940810-0-00030': 1, 'FR940810-0-00042': 1, 'FR940810-0-00185': 3, 'FR940810-0-00330': 1, 'FR940810-0-00331': 2, 'FR940810-2-00002': 2, 'FR940810-2-00003': 3, 'FR940810-2-00059': 2, 'FR940810-2-00068': 3, 'FR940810-2-00070': 5, 'FR940810-2-00071': 3, 'FR940810-2-00140': 3, 'FR940810-2-00141': 3, 'FR940810-2-00142': 3, 'FR940810-2-00143': 3, 'FR941006-1-00003': 1, 'FR941006-1-00020': 1, 'FR941006-1-00024': 1, 'FR941206-1-00031': 1, 'FR941206-1-00089': 3, 'FR941206-1-00115': 3, 'FR941206-1-00128': 1, 'FR941206-1-00134': 6}",123,55
21,"{'FR940104-0-00002': 1, 'FR940104-0-00004': 1, 'FR940104-0-00022': 2, 'FR940104-0-00025': 1, 'FR940104-0-00052': 1, 'FR940104-0-00066': 1, 'FR940104-2-00096': 1, 'FR940405-1-00003': 1, 'FR940405-1-00036': 1, 'FR940405-1-00126': 1, 'FR940525-0-00004': 1, 'FR940525-0-00041': 1, 'FR940810-0-00042': 1, 'FR940810-0-00185': 2, 'FR940810-0-00330': 1, 'FR940810-0-00331': 2, 'FR940810-2-00002': 2, 'FR940810-2-00003': 3, 'FR940810-2-00140': 1, 'FR940810-2-00141': 1, 'FR940810-2-00142': 1, 'FR940810-2-00143': 2, 'FR941006-1-00020': 1, 'FR941006-1-00024': 1, 'FR941206-1-00031': 1, 'FR941206-1-00089': 2, 'FR941206-1-00115': 1, 'FR941206-1-00128': 1, 'FR941206-1-00134': 2}",38,29
