term,term_id,df
federal,1,818
register,2,336
vol,3,64
59,4,155
2,5,967
tuesday,6,26
january,7,150
4,8,742
1994,9,536
rules,10,275
regulations,11,485
department,12,474
agriculture,13,62
agricultural,14,42
marketing,15,69
service,16,439
7,17,488
cfr,18,665
parts,19,162
907,20,11
908,21,8
fv93,22,2
1fir,23,1
navel,24,3
valencia,25,3
oranges,26,7
grown,27,10
arizona,28,15
designated,29,177
california,30,84
change,31,213
reporting,32,220
requirements,33,688
agency,34,681
usda,35,25
action,36,630
final,37,445
rule,38,482
summary,39,409
adopting,40,27
provisions,41,459
interim,42,73
changing,43,34
prescribed,44,96
californiaarizona,45,2
orange,46,13
orders,47,79
regulate,48,36
handling,49,105
administered,50,45
locally,51,8
administrative,52,195
committees,53,35
modifies,54,12
language,55,93
discontinue,56,12
form,57,244
38,58,45
weekly,59,20
report,60,261
product,61,215
byproduct,62,9
3,63,898
daily,64,81
manifest,65,5
subject,66,426
allotment,67,5
utilized,68,36
rail,69,9
car,70,10
shipments,71,15
actions,72,165
reduce,73,217
burden,74,113
information,75,963
collection,76,139
effective,77,387
date,78,523
february,79,112
contact,80,460
caroline,81,2
thorpe,82,1
specialist,83,33
order,84,552
administration,85,267
branch,86,147
ams,87,7
room,88,299
2522,89,2
p.o,90,74
box,91,111
96456,92,3
washington,93,444
dc,94,372
20090,95,4
6456,96,3
telephone,97,221
202,98,271
720,99,12
5127,100,2
maureen,101,2
pello,102,1
field,103,147
office,104,622
2202,105,1
monterey,106,4
street,107,264
suite,108,59
102b,109,1
fresno,110,1
93721,111,1
209,112,8
487,113,8
5901,114,1
supplementary,115,280
issued,116,345
nos,117,50
amended,118,362
regulating,119,19
hereinafter,120,16
referred,121,89
agreement,122,121
act,123,760
1937,124,3
u.s.c,125,434
601,126,41
674,127,6
issuing,128,56
conformance,129,24
executive,130,181
12866,131,80
reviewed,132,122
12778,133,16
civil,134,71
justice,135,43
reform,136,36
intended,137,177
retroactive,138,14
effect,139,296
preempt,140,9
state,141,459
local,142,237
laws,143,85
policies,144,109
present,145,255
irreconcilable,146,6
conflict,147,35
proceedings,148,67
exhausted,149,17
parties,150,199
file,151,182
suit,152,15
court,153,122
section,154,922
8c(15)(a,155,1
handler,156,5
secretary,157,413
petition,158,92
stating,159,38
provision,160,161
obligation,161,26
imposed,162,74
connection,163,74
accordance,164,412
law,165,208
request,166,331
modification,167,70
exempted,168,29
therefrom,169,6
afforded,170,22
opportunity,171,118
hearing,172,153
district,173,94
united,174,280
states,175,450
inhabitant,176,2
principal,177,114
place,178,229
business,179,182
jurisdiction,180,46
equity,181,39
review,182,394
secretary's,183,20
ruling,184,22
provided,185,471
bill,186,15
filed,187,633
20,188,250
days,189,312
entry,190,87
pursuant,191,434
set,192,413
regulatory,193,401
flexibility,194,127
rfa,195,12
administrator,196,149
considered,197,431
economic,198,187
impact,199,266
small,200,308
entities,201,119
purpose,202,290
fit,203,40
scale,204,57
businesses,205,59
unduly,206,19
disproportionately,207,8
burdened,208,5
thereunder,209,33
unique,210,48
brought,211,24
group,212,130
essentially,213,25
acting,214,171
behalf,215,69
statutes,216,20
entity,217,52
orientation,218,14
compatibility,219,9
approximately,220,187
140,221,22
handlers,222,6
125,223,25
regulation,224,262
respective,225,31
3750,226,2
producers,227,26
3700,228,3
regulated,229,129
areas,230,287
addition,231,428
35,232,99
manufacturers,233,100
affected,234,231
firms,235,58
includes,236,209
defined,237,243
13,238,186
121.601,239,2
annual,240,198
receipts,241,20
3500000,242,1
500000,243,4
majority,244,65
processors,245,14
classified,246,59
finalizes,247,2
unanimously,248,7
recommended,249,166
october,250,128
8,251,450
1993,252,340
published,253,333
58,254,166
fr,255,790
53112,256,2
01-14-1993,257,15
§,258,337
907.131,259,1
907.141,260,1
908.131,261,1
908.141,262,1
day,263,239
30day,264,24
comment,265,284
period,266,424
ended,267,9
01-15-1993,268,29
comments,269,482
received,270,406
sections,271,172
907.67,272,1
908.67,273,1
provide,274,571
authority,275,364
exemption,276,103
commercial,277,145
processing,278,140
products,279,309
including,280,542
juice,281,3
prescribe,282,26
procedures,283,323
governing,284,82
included,285,288
ensure,286,257
persons,287,324
acquire,288,31
approved,289,217
byproducts,290,7
manufacturer,291,71
exempt,292,84
submit,293,211
application,294,370
committee,295,209
14,296,158
list,297,259
applications,298,192
compliance,299,337
investigation,300,89
approval,301,173
required,302,654
copies,303,201
15,304,270
diversion,305,19
disposed,306,26
finally,307,66
crop,308,8
year,309,329
occurring,310,35
submission,311,118
longer,312,147
added,313,177
1990,314,186
believed,315,52
additional,316,385
enter,317,61
fresh,318,12
fruit,319,12
market,320,197
comparisons,321,13
total,322,274
amount,323,315
manufactured,324,39
give,325,77
method,326,224
verify,327,38
found,328,261
collected,329,84
reports,330,161
submitted,331,383
creates,332,21
revising,333,67
made,334,552
minor,335,42
modifications,336,47
clarity,337,14
concerns,338,94
907.71,339,1
908.71,340,1
furnish,341,30
cartons,342,4
handled,343,31
segregated,344,11
size,345,167
24,346,160
hours,347,181
shipment,348,27
destined,349,3
points,350,87
u.s,351,390
alaska,352,21
canada,353,26
require,354,354
shipped,355,14
hour,356,75
prior,357,315
include,358,574
truck,359,12
identical,360,36
certificate,361,56
assignment,362,18
duplication,363,13
created,364,39
modifying,365,20
manifests,366,5
documentation,367,91
substantiate,368,9
contained,369,253
referenced,370,47
previously,371,166
management,372,416
budget,373,147
omb,374,84
44,375,110
chapter,376,100
assigned,377,76
numbers,378,73
0581,379,6
0116,380,3
0121,381,2
reduces,382,15
25,383,206
completing,384,27
taking,385,99
0.33,386,4
complete,387,149
210,388,10
ship,389,44
primarily,390,90
0.40,391,2
80,392,52
point,393,130
season,394,13
continue,395,178
0.20,396,7
based,397,543
considerations,398,42
determined,399,407
significant,400,357
substantial,401,155
number,402,567
consideration,403,183
relevant,404,156
material,405,356
presented,406,162
recommendations,407,98
finalizing,408,7
tend,409,22
effectuate,410,5
declared,411,23
policy,412,244
subjects,413,129
agreements,414,68
recordkeeping,415,134
reasons,416,158
preamble,417,90
1,418,1233
citation,419,111
continues,420,112
read,421,171
part,422,679
907_navel,423,1
amending,424,49
adopted,425,116
908_valencia,426,1
dated,427,385
01-27-1993,428,27
robert,429,39
keeney,430,1
deputy,431,107
director,432,284
vegetable,433,11
division,434,219
doc,435,558
94,436,579
55,437,101
8:45,438,516
billing,439,568
code,440,663
3410,441,26
02,442,23
securities,443,105
exchange,444,122
commission,445,268
17,446,126
239,447,24
release,448,123
33,449,96
7040,450,1
international,451,113
series,452,83
625,453,6
s7,454,2
16,455,252
93,456,106
rin,457,54
3235,458,4
af83,459,1
amendments,460,115
multijurisdictional,461,1
disclosure,462,61
system,463,418
canadian,464,16
issuers,465,13
9,466,422
mjds,467,1
recognize,468,28
investment,469,87
grade,470,35
ratings,471,4
rating,472,17
organizations,473,151
recognized,474,59
regulators,475,10
purposes,476,271
filings,477,23
forms,478,103
40,479,224
light,480,124
commission's,481,131
experience,482,127
facilitate,483,57
transnational,484,1
capital,485,57
formation,486,28
adoption,487,40
parallel,488,23
paul,489,19
dudek,490,1
272,491,8
3246,492,1
corporate,493,28
finance,494,34
corporation,495,94
20549,496,28
november,497,95
stated,498,198
relating,499,140
recognition,500,32
time,501,638
7025,502,1
62028,503,1
239.39,504,2
01-31-1993,505,26
result,506,423
publishing,507,40
make,508,324
ii,509,347
certification,510,96
605(b,511,9
5,512,741
605,513,7
proposing,514,117
chairman,515,43
certified,516,72
